FIPS,State,County,Population_2020,Rural
1001,Alabama,Autauga,58800,0
1003,Alabama,Baldwin,231767,0
1005,Alabama,Barbour,25226,1
1007,Alabama,Bibb,22284,1
1009,Alabama,Blount,59130,0
1011,Alabama,Bullock,10355,1
1013,Alabama,Butler,19048,1
1015,Alabama,Calhoun,116437,0
1017,Alabama,Chambers,34692,1
1019,Alabama,Cherokee,24984,1
1021,Alabama,Chilton,45012,1
1023,Alabama,Choctaw,12664,1
1025,Alabama,Clarke,23091,1
1027,Alabama,Clay,14235,1
1029,Alabama,Cleburne,15055,1
1031,Alabama,Coffee,53470,0
1033,Alabama,Colbert,57232,0
1035,Alabama,Conecuh,11594,1
1037,Alabama,Coosa,10379,1
1039,Alabama,Covington,37570,1
1041,Alabama,Crenshaw,13201,1
1043,Alabama,Cullman,87861,0
1045,Alabama,Dale,49320,1
1047,Alabama,Dallas,38470,1
1049,Alabama,DeKalb,71627,0
1051,Alabama,Elmore,87980,0
1053,Alabama,Escambia,36768,1
1055,Alabama,Etowah,103415,0
1057,Alabama,Fayette,16322,1
1059,Alabama,Franklin,32111,1
1061,Alabama,Geneva,26662,1
1063,Alabama,Greene,7732,1
1065,Alabama,Hale,14788,1
1067,Alabama,Henry,17141,1
1069,Alabama,Houston,107213,0
1071,Alabama,Jackson,52563,0
1073,Alabama,Jefferson,674311,0
1075,Alabama,Lamar,13971,1
1077,Alabama,Lauderdale,93560,0
1079,Alabama,Lawrence,33058,1
1081,Alabama,Lee,174341,0
1083,Alabama,Limestone,103561,0
1085,Alabama,Lowndes,10319,1
1087,Alabama,Macon,19531,1
1089,Alabama,Madison,388156,0
1091,Alabama,Marengo,19325,1
1093,Alabama,Marion,29334,1
1095,Alabama,Marshall,97609,0
1097,Alabama,Mobile,414810,0
1099,Alabama,Monroe,19768,1
1101,Alabama,Montgomery,228957,0
1103,Alabama,Morgan,123452,0
1105,Alabama,Perry,8511,1
1107,Alabama,Pickens,19125,1
1109,Alabama,Pike,33003,1
1111,Alabama,Randolph,21966,1
1113,Alabama,Russell,59171,0
1115,Alabama,St. Clair,91494,0
1117,Alabama,Shelby,223024,0
1119,Alabama,Sumter,12343,1
1121,Alabama,Talladega,82153,0
1123,Alabama,Tallapoosa,41311,1
1125,Alabama,Tuscaloosa,228135,0
1127,Alabama,Walker,65345,0
1129,Alabama,Washington,15390,1
1131,Alabama,Wilcox,10596,1
1133,Alabama,Winston,23540,1
2013,Alaska,Aleutians East,3420,1
2016,Alaska,Aleutians West,5232,1
2020,Alaska,Anchorage,291246,0
2050,Alaska,Bethel,18664,1
2060,Alaska,Bristol Bay,843,1
2063,Alaska,Chugach,7104,1
2066,Alaska,Copper River,2616,1
2068,Alaska,Denali,1624,1
2070,Alaska,Dillingham,4858,1
2090,Alaska,Fairbanks North Star,95667,0
2100,Alaska,Haines,2079,1
2105,Alaska,Hoonah-Angoon,2356,1
2110,Alaska,Juneau,32250,1
2122,Alaska,Kenai Peninsula,58797,0
2130,Alaska,Ketchikan Gateway,13950,1
2150,Alaska,Kodiak Island,13097,1
2158,Alaska,Kusilvak,8368,1
2164,Alaska,Lake and Peninsula,1476,1
2170,Alaska,Matanuska-Susitna,107078,0
2180,Alaska,Nome,10039,1
2185,Alaska,North Slope,11037,1
2188,Alaska,Northwest Arctic,7794,1
2195,Alaska,Petersburg,3401,1
2198,Alaska,Prince of Wales-Hyder,5759,1
2220,Alaska,Sitka,8452,1
2230,Alaska,Skagway,1242,1
2240,Alaska,Southeast Fairbanks,6811,1
2275,Alaska,Wrangell,2127,1
2282,Alaska,Yakutat,663,1
2290,Alaska,Yukon-Koyukuk,5345,1
4001,Arizona,Apache,66024,0
4003,Arizona,Cochise,125440,0
4005,Arizona,Coconino,145098,0
4007,Arizona,Gila,53272,0
4009,Arizona,Graham,38539,1
4011,Arizona,Greenlee,9563,1
4012,Arizona,La Paz,16552,1
